Informant-ID,Fødselsår,Kjønn (M/K),Yrke,Høyeste grad/utdanning,Viktigste sted(er) for talemåte,Alder flyttet til sted,Evt. kommentarer til flytting,Kommune,"Antall foreldre som snakker samme dialekt (0, 1 eller 2)",Din beskrivelse av dialekten på stedet du komme fra,Er du representativ dialektbruker?,Høyde (cm),Vekt (kg) (frivillig),Unnamed: 14,Opptakssted,Tekniske kommentarer til opptaket,Språklige kommentarer til opptaket,Kommentarer til opptak og lesing/uttale,Etnisitet,Fødeland,Alder flyttet fra fødeland:,Alder flyttet til Norge:,Nåværende bosted i Norge:,Eventuelle tidligere bosted i Norge:,Hvilke steder snakker du norsk? (Sett ring rundt riktig alternativ): 1) Daglig 2) 3-5 dager i uka 3) 1-2 dager i uka 4) Ikke ukentlig,Hvilke steder snakker du norsk (sett ring rundt minst ett alernativ):  1) Hjemme 2) På fritiden utenfor hjemmet 3) På jobb/ skole,Høyeste norsk-kurs (fullført årstall):,Dialekt
p2_g20_n0_1_t,1971.0,K,Førsteamensuensis,PhD,Hjemme - Jobb,,,,,,,165.0,52.0,,NTNU,,,,Europeisk,Fransk,20,20,Trondheim,,1.0,"1,2 og 3",Bergenstesten 1992,Utenlandsk
p2_g20_n0_2_t,1966.0,K,Universitetslektor,Hovedfag,,,,,,,,166.0,70.0,,NTNU,,"setning 161: Ng i Nguyen ble uttalt nj. Setning 163: d i ""vidåpen"" ble uttalt. setning 174: Vijay ble uttalt bokstavnært.",,Europeisk,Fransk,19,19,Trondheim,Stavanger,1.0,"1,2 og 3",Trinn 4,Utenlandsk
p2_g20_n0_3_t,1982.0,K,Sykepleier,Bachelor spl.,"Jobben, hjemmet",,,,,,,170.0,,,NTNU,1 feilmelding,,Litt for kort fri tale.,Sør-Amerikansk,Protugisisk,21,21,Trondheim,Oslo,1.0,"1,2 og 3",Bestått Bergenstest (2006),Utenlandsk
p2_g20_n0_4_x,1966.0,K,Forsker,Ph.D,"Jobb, med foreldrer på skole, fritidsaktiviteter",,,,,,,165.0,64.0,,NTNU,,Innleser slet med å uttale H.,,Europeisk,Fransk,32,34,Trondheim,,1.0,2 og 3,"Trinn 3, dragvoll universitet",Utenlandsk
p2_g21_f0_1_t,1961.0,K,Førsteamanuensis,PhD,Trondheim/ universitet. Sosiale kontekster.,,,,,,,158.0,61.0,,NTNU,,,Innleser snakket veldig lavt.,Europeisk,Amerikansk engelsk (midwest),30,30,Trondheim (Saksvik),,1.0,"2 og 3 (norsk er brukt hjemme, men ikke av meg)",4,Utenlandsk
p2_g21_f0_2_t,1956.0,K,Førstekonsulent/ admin koor.,noe høyere utdanning (fag) ingen grad.,Trøndelag,,,,,,,168.0,,,NTNU,,Setning nummer 38: leste Moen istedet for Truels.,,Anglo-american,Engelsk,,,Trondheim,Sarpsborg/ Stjørdal,1.0,"1,2 og 3","VK 2, 1993 (Stjørdal vgs)",Utenlandsk
p2_g21_f0_3_x,1956.0,K,"Førsteamensuensis, ???",Dr.med,Jobb??,,,,,,,170.0,68.0,,NTNU,,,"Innleser var tydelig nervøs, det hørtes på pusten.",Europeisk,Engelsk,23,23,Trondheim,Oslo; Fredrikstad; Skien; Namsos m.m,1.0,"1,2 og 3",Ingen,Utenlandsk
p2_g21_m0_1_t,1981.0,M,Daglig leder - Austmann Bryggers,Videregående,"Trondheim, Surndal/ Molde 1999-2001",,,,,,,178.0,80.0,,NTNU,,,,Europeisk,Engelsk,17,28,Trondheim,1999-2001,3.0,1,Kurs til Bergenstesten 2012,Utenlandsk
p2_g21_m0_2_t,1983.0,M,Stipendiat,PhD,"Jobb-stipendiat-kollegaer, venner (halvparten)",,,,,,,184.0,67.0,,NTNU,"Opptaket ble gjort med åpen dør til studio, pga feil med hodetelefonene",Brukte mye tid på å få innleser til å lese ord som sluttet på A. Tok lang tid og innleser ble sliten.,,Europeisk-Amerikansk,Engelsk,18,27,Trondheim,,1.0,2 og 3,0,Utenlandsk
p2_g21_m0_3_x,1953.0,M,Engelsklærer,Juris Doctor,Trøndersk (Trøndelag),,,,,,,170.0,83.0,,NTNU,Monitorlyd og nye mikrofoner var på plass til dette opptaket.,,,Europeisk,Engelsk,58,58,Trondheim,Bergen som student (73-74),1.0,"1,2 og 3",Trinn 3,Utenlandsk
p2_g21_n0_1_t,1985.0,K,Stipendiat,Bachelorgrad,"Hjemme, jobb, fritidsaktiviteter",,,,,,,168.0,63.0,,NTNU,1 feilmelding,"Slet ofte med rk-kombinasjoner, og r i slutten av ord.",,Europeisk,Engelsk,25,25,Trondheim,Soknedal (Rogaland) Hammerfest/ Alta (Finnmark),1.0,"1,2 og 3","Bergenstesten høyere nivå - skriftlig 2011, munltig 2010",Utenlandsk
p2_g21_n0_2_t,1987.0,K,Kokk/ student,Bachelor i psykologi (nå i mastergrad),Jobb,,,,,,,170.0,62.0,,NTNU,,Hadde problemer med å lese norsk.,Fri tale i bare 1 min og 20 sek.,Caucasian,English,3,tilbake 23,Trondheim,Steinkjer,3.0,3,Ingen,Utenlandsk
p2_g21_n0_3_t,1980.0,K,Student,Bachelor,Vestkant Oslo,,,,,,,168.0,66.0,,NTNU,En feilmelding,,,Europeisk,Engelsk,21,26,Trondheim,"Hamar, Oslo",1.0,"1,2 og 3",Trinn 3,Utenlandsk
p2_g21_n0_4_x,1962.0,K,Kontorsjef,Hovedfag,"Arbeid, hjem, fritid, fulltidsstudium på Dragvoll 1983-1984",,,,,,,162.0,55.0,,NTNU,1 feilmelding,,,Amerikansk,Engelsk,22,22,Trondheim,,1.0,"1,2 og 3",Innføirng for utlendinger - ettåring,Utenlandsk
p2_g22_f0_1_t,1963.0,K,Student/ sykepleier,Mastergrad,"Hjemme, arbeid/ studier, fritid",,,,,,,163.0,,,NTNU,"Opptak gjort med døren oppe,",,,Europeisk,Finsk,45,45,Trondheim,,1.0,"1,2 og 3",,Utenlandsk
p2_g22_f0_2_t,1980.0,K,Prosjektleder,Master,Bodd mest i Trondheim og mannen min snakker trøndersk.,,,,,,,153.0,80.0,,NTNU,"Vi hadde problemer med å få nok lyd særlig i h. kanal. Skrudde opp til den ble rød, og fikk en del støy i retur. Vi prøver å få orden på lyden til neste innleser.",,,Europeisk,Ungarsk,21,25,Trondheim,Tønsberg,1.0,"1,2 og 3","Bergenstest, privatskole i Oslo (2005)",Utenlandsk
p2_g22_f0_3_x,1979.0,K,Lærer,MA,Trondheim/ hjemme/ på jobb,,,,,,,173.0,70.0,,NTNU,,"55 / s0ce38b: nøling før ""7."", markeres som <fp>",,Europeisk,Ungarsk,33,33,Trondheim,,1.0,1 og 3,,Utenlandsk
p2_g22_m0_1_t,1984.0,M,Facebook rådgiver,BA + 1år fordypning,"Bryne og Sirdal skole, LHMR -jobb, skole, Trondheim - Jobb, fritid",,,,,,,169.0,61.0,,NTNU,,,,Europeisk,Estland,17,17,Trondheim,"Bryne, Sirdal, Lillehammer",1.0,"1,2 og 3",,Utenlandsk
p2_g22_m0_2_t,1981.0,M,Skomaker?,Grunnskole,Jobb,,,,,,,200.0,100.0,,NTNU,,Innleser hadde en veldig svensk uttale,,Europeisk,"Svensk, Estnisk",28,28,Trondheim,,1.0,1 og 3,,Utenlandsk
p2_g22_m0_3_x,1977.0,M,Sykepleier,Sykepleier,"Trondheim, Kattem på jobb",,,,,,,170.0,67.0,,NTNU,,,,Europeisk,Finsk,12,36,"Rye, Byneset, Trondheim",,1.0,2 og 3,"Har tatt 2 ulike kurs, FInland, 2013",Utenlandsk
p2_g22_n0_1_t,1982.0,M,Student,Master,Jobb/ bekjente,,,,,,,184.0,73.0,,NTNU,"Innleser varierte stemmenivå under opptakene, var derfor vanskelig å stille lyden på et nivå.",,,Europeisk/ Asiatisk,Tyrkisk,29,29,Trondheim,,3.0,2 og 3,"2012 (ikke tatt, nivå 3 var for lett)",Utenlandsk
p2_g22_n0_2_t,1983.0,K,,Bachelor,Jobb,,,,,,,160.0,53.0,,NTNU,,,,Asiatisk,Tyrkisk,27,27,Trondheim,,3.0,2 og 3,Trinn 3 (2013),Utenlandsk
p2_g22_n0_3_t,1991.0,K,Student,Videregående,"Skole, hjemme",,,,,,,173.0,55.0,,NTNU,,,,Europeisk,Ungarsk,19,19,Støren,Trondheim,1.0,"1,2 og 3",Bergenstest (2012),Utenlandsk
p2_g22_n0_4_x,1974.0,K,Freelance journalist,Master,"Barnehagen, skolen, butikken",,,,,,,163.0,63.0,,NTNU,,,,Asiatisk (Tyrkisk),Tyrkisk,28,30,"Ranheim, Trondheim",,1.0,"1,2 og 3",Trinn3 på NTNU,Utenlandsk
p2_g23_f0_1_t,1986.0,K,Student,Universitet (Bachelorgrad),"i skole, kirke, på fritiden utenfor hjemmet, litt hjemme når jeg besøker venner.",,,,,,,150.0,80.0,,NTNU,,"måtte ha litt lav lyd så lyden ikke skulle bli for høy, når hun startet hver setning. Hadde dårlig tid på slutten",,Afrikansk,Ga,27,27,Trondheim,Hamar (Hedmark),2.0,3,Kurs til bergentest (2013),Utenlandsk
p2_g23_f0_2_t,1982.0,K,Hotellmedarbeider,Bachelor,"Jobb, i fritiden med venner",,,,,,,167.0,,,NTNU,,"Innleseren slet litt med den nynorske setningen, fikk ikke til å si ""frå"" eller ""høgskulen"". Hun sa selv at hun slet med r,o og u. Dette merket vi underveis mest mellom u og o.",,Afrikansk,Akan/ Krobo,16,16,Trondheim,Bodø,1.0,3,Voksenopplæring (SEVO) lade (2001),Utenlandsk
p2_g23_f0_3_x,1981.0,K,Renhold,Renskap,"Hjemme, på jobb",,,,,,,171.0,82.0,,NTNU,Snakket lavere utover i opptaket ettersom hun ble sliten.,,,Afrikansk,"Malinke, fransk",30,30,Trondheim,,1.0,1 og 3,"Trinn 3, 2013",Utenlandsk
p2_g23_m0_1_t,1983.0,M,Student,Bachelor,"Norskkurs, språkkaffe, praksissted",,,,,,,180.0,72.0,,NTNU,,"slet med ordet ""akkompagnatør""",,"Oromo, Afrikansk",Afan Oromo,28,28,Trondheim,Steinkjer,,,,Utenlandsk
p2_g23_m0_2_t,1983.0,M,Deltidsstudent,Mastergrad i miljøvitenskap,"På skole, jobb",,,,,,,183.0,70.0,,NTNU,,,,Oromo (Afrikansk),"Oromo, Amharisk",26,26,Trondheim,,1.0,3,Trinn 3,Utenlandsk
p2_g23_m0_3_x,1975.0,M,Student,Bachelor,"På skole, i kirke, språkkafe",,,,,,,180.0,75.0,,NTNU,,"Klarte ikke å si annet enn <høygskolen>. Og ""behandling"" ble uttalt <behandeling>, men innleser hørte ikke forskjell.",,Afrikansk,Oromo,35,35,Trondheim,Vestner,1.0,2 og 3,NP3 - 3 (2013),Utenlandsk
p2_g23_n0_1_t,1986.0,M,Student,Bachelor,"Skolen, språkkafe, bussen",,,,,,,175.0,65.0,,NTNU,"Stemmeleiet forandret seg mye, var vanskelig å stille lyden.",,,Afrikansk,Kirundi,26,27,Trondheim,Vang,1.0,2 og 3,,Utenlandsk
p2_g23_n0_2_t,1988.0,K,Student/ Husvert Sit bolig,Bachelor,"Jobb, skole, hjemme",,,,,,,168.0,71.0,,NTNU,,,,Afrikansk,"Akan, Engelsk",17,17,Trondheim,Melhus,1.0,"1, 2 og 3",Norsk videregående (2005-2008),Utenlandsk
p2_g23_n0_3_t,1978.0,M,Student/ deltidsjobb,MSc,"på sykehjemm, skole",,,,,,,174.0,74.0,,NTNU,,,,Oromo (Afrikansk),Oromo,32,32,Trondheim,Vestnes,2.0,3,Trinn 3,Utenlandsk
p2_g23_n0_4_x,1989.0,M,Assistent (helsevesenet),Bachelor,"Hjemme, jobb, skole",,,,,,,169.0,61.0,,NTNU,Veldig variabelt stemmevolum.,,,Bantu (bembe??) Afrikansk,"Bembe, Swahili",1?,17,Trondheim,Steinkjer,1.0,"1,2 og 3",B1 (2009) ??,Utenlandsk
